"username","userPrincipalName","displayName","plan","included_credits"
"ctremayne","cyprian.tremayne0723@contoso-health.com","Tremayne, Cyprian S","Copilot Enterprise","7000"
"dnetherby","delilah.netherby0648@contoso-health.com","Netherby, Delilah H","Copilot Enterprise","7000"
"decclestone","delphine.ecclestone0562@contoso-health.com","Ecclestone, Delphine N","Copilot Enterprise","7000"
"dpargeter","delphine.pargeter0711@contoso-health.com","Pargeter, Delphine T","Copilot Enterprise","7000"
"dwolstenholme","delphine.wolstenholme0638@contoso-health.com","Wolstenholme, Delphine C","Copilot Enterprise","7000"
"dbrocklehurst","desmond.brocklehurst0637@contoso-health.com","Brocklehurst, Desmond D","Copilot Enterprise","7000"
"dhigginbotham","desmond.higginbotham0712@contoso-health.com","Higginbotham, Desmond L","Copilot Enterprise","7000"
"dbeauchamp","dominic.beauchamp0438@contoso-health.com","Beauchamp, Dominic E","Copilot Business","3000"
"dblackwood","dominic.blackwood0728@contoso-health.com","Blackwood, Dominic I","Copilot Enterprise","7000"
"dglenister","dominic.glenister0714@contoso-health.com","Glenister, Dominic K","Copilot Business","3000"
"dwhitcombe","dominic.whitcombe0832@contoso-health.com","Whitcombe, Dominic O","Copilot Enterprise","7000"
"dnettleship","dorothea.nettleship0499@contoso-health.com","Nettleship, Dorothea J","Copilot Business","3000"
"dgarrowby","drusilla.garrowby0834@contoso-health.com","Garrowby, Drusilla H","Copilot Business","3000"
"etrelawney","edmund.trelawney0592@contoso-health.com","Trelawney, Edmund K","Copilot Business","3000"
"eattenborough","eloise.attenborough0674@contoso-health.com","Attenborough, Eloise O","Copilot Business","3000"
"efairbrother","eloise.fairbrother0741@contoso-health.com","Fairbrother, Eloise J","Copilot Enterprise","7000"
"echittenden","emrys.chittenden0504@contoso-health.com","Chittenden, Emrys W","Copilot Enterprise","7000"
"elindquist","emrys.lindquist0636@contoso-health.com","Lindquist, Emrys H","Copilot Enterprise","7000"
"erossington","emrys.rossington0534@contoso-health.com","Rossington, Emrys D","Copilot Business","3000"
"ebeauchamp","ernest.beauchamp0707@contoso-health.com","Beauchamp, Ernest G","Copilot Enterprise","7000"
"eyoxall","ernest.yoxall0589@contoso-health.com","Yoxall, Ernest I","Copilot Business","3000"
"elymington","evangeline.lymington0430@contoso-health.com","Lymington, Evangeline B","Copilot Business","3000"
"eyaxley","evangeline.yaxley0515@contoso-health.com","Yaxley, Evangeline T","Copilot Business","3000"
"fballantyne","faustine.ballantyne0722@contoso-health.com","Ballantyne, Faustine J","Copilot Business","3000"
"ffotheringay","faustine.fotheringay0666@contoso-health.com","Fotheringay, Faustine M","Copilot Business","3000"
"fpetrie","faustine.petrie0490@contoso-health.com","Petrie, Faustine N","Copilot Enterprise","7000"
"fquiller","fenella.quiller0846@contoso-health.com","Quiller, Fenella A","Copilot Business","3000"
"fkirkbride","ferdinand.kirkbride0487@contoso-health.com","Kirkbride, Ferdinand W","Copilot Enterprise","7000"
"fhawksworth","fitzwilliam.hawksworth0457@contoso-health.com","Hawksworth, Fitzwilliam N","Copilot Business","3000"
"fnorrington","fitzwilliam.norrington0440@contoso-health.com","Norrington, Fitzwilliam T","Copilot Business","3000"
"fwhitcombe","fitzwilliam.whitcombe0559@contoso-health.com","Whitcombe, Fitzwilliam F","Copilot Business","3000"
"fyeovil","fitzwilliam.yeovil0649@contoso-health.com","Yeovil, Fitzwilliam P","Copilot Enterprise","7000"
"framsbottom","florence.ramsbottom0689@contoso-health.com","Ramsbottom, Florence E","Copilot Business","3000"
"ffairweather","frederica.fairweather0437@contoso-health.com","Fairweather, Frederica G","Copilot Enterprise","7000"
"fwilloughby","frederica.willoughby0720@contoso-health.com","Willoughby, Frederica D","Copilot Enterprise","7000"
"gtarrington","garrick.tarrington0671@contoso-health.com","Tarrington, Garrick D","Copilot Enterprise","7000"
"gballantyne","georgina.ballantyne0751@contoso-health.com","Ballantyne, Georgina C","Copilot Enterprise","7000"
"gselwyn","georgina.selwyn0497@contoso-health.com","Selwyn, Georgina B","Copilot Business","3000"
"gballantyne2","gideon.ballantyne0491@contoso-health.com","Ballantyne, Gideon J","Copilot Business","3000"
"gbrentwood","gideon.brentwood0530@contoso-health.com","Brentwood, Gideon L","Copilot Enterprise","7000"
"gfairweather","gideon.fairweather0444@contoso-health.com","Fairweather, Gideon T","Copilot Enterprise","7000"
"gingram","gideon.ingram0461@contoso-health.com","Ingram, Gideon D","Copilot Business","3000"
"gpostlethwaite","gideon.postlethwaite0858@contoso-health.com","Postlethwaite, Gideon F","Copilot Enterprise","7000"
"ggarforth","godfrey.garforth0466@contoso-health.com","Garforth, Godfrey T","Copilot Business","3000"
"gquested","godfrey.quested0697@contoso-health.com","Quested, Godfrey W","Copilot Enterprise","7000"
"gdunmore","griselda.dunmore0633@contoso-health.com","Dunmore, Griselda E","Copilot Enterprise","7000"
"glittlewood","griselda.littlewood0860@contoso-health.com","Littlewood, Griselda H","Copilot Enterprise","7000"
"gredmayne","griselda.redmayne0569@contoso-health.com","Redmayne, Griselda A","Copilot Business","3000"
"gtremayne","griselda.tremayne0455@contoso-health.com","Tremayne, Griselda S","Copilot Enterprise","7000"
"gjephson","gwendolyn.jephson0575@contoso-health.com","Jephson, Gwendolyn K","Copilot Business","3000"
"gvansittart","gwendolyn.vansittart0508@contoso-health.com","Vansittart, Gwendolyn C","Copilot Enterprise","7000"
"hattenborough","helena.attenborough0472@contoso-health.com","Attenborough, Helena F","Copilot Enterprise","7000"
"hkingsmill","helena.kingsmill0713@contoso-health.com","Kingsmill, Helena O","Copilot Enterprise","7000"
"hredmayne","helena.redmayne0665@contoso-health.com","Redmayne, Helena I","Copilot Business","3000"
"hblackwood","hermione.blackwood0733@contoso-health.com","Blackwood, Hermione T","Copilot Enterprise","7000"
"hdunstable","hermione.dunstable0661@contoso-health.com","Dunstable, Hermione E","Copilot Enterprise","7000"
"hfairbrother","hermione.fairbrother0557@contoso-health.com","Fairbrother, Hermione K","Copilot Enterprise","7000"
"hyeovil","hermione.yeovil0587@contoso-health.com","Yeovil, Hermione A","Copilot Business","3000"
"hcoltrane","humphrey.coltrane0577@contoso-health.com","Coltrane, Humphrey H","Copilot Business","3000"
"hrutherford","humphrey.rutherford0850@contoso-health.com","Rutherford, Humphrey G","Copilot Business","3000"
"hwilloughby","humphrey.willoughby0679@contoso-health.com","Willoughby, Humphrey M","Copilot Business","3000"
"hfairweather","hyacinth.fairweather0847@contoso-health.com","Fairweather, Hyacinth A","Copilot Enterprise","7000"
"ipennington","ignatius.pennington0839@contoso-health.com","Pennington, Ignatius W","Copilot Enterprise","7000"
"ipennington2","ignatius.pennington0849@contoso-health.com","Pennington, Ignatius E","Copilot Business","3000"
"iwilloughby","ignatius.willoughby0726@contoso-health.com","Willoughby, Ignatius L","Copilot Business","3000"
"icrowhurst","imogen.crowhurst0588@contoso-health.com","Crowhurst, Imogen F","Copilot Business","3000"
"ioglethorpe","imogen.oglethorpe0745@contoso-health.com","Oglethorpe, Imogen W","Copilot Business","3000"
"iyealand","imogen.yealand0540@contoso-health.com","Yealand, Imogen C","Copilot Enterprise","7000"
"ifenwick","ingrid.fenwick0451@contoso-health.com","Fenwick, Ingrid I","Copilot Enterprise","7000"
"iballantyne","isadora.ballantyne0480@contoso-health.com","Ballantyne, Isadora M","Copilot Enterprise","7000"
"ieastgate","isadora.eastgate0677@contoso-health.com","Eastgate, Isadora T","Copilot Enterprise","7000"
"iwrexham","isadora.wrexham0681@contoso-health.com","Wrexham, Isadora W","Copilot Enterprise","7000"
"ihigginbotham","isolde.higginbotham0462@contoso-health.com","Higginbotham, Isolde G","Copilot Enterprise","7000"
"inuttall","ivo.nuttall0657@contoso-health.com","Nuttall, Ivo O","Copilot Enterprise","7000"
"jyeovil","jarvis.yeovil0539@contoso-health.com","Yeovil, Jarvis F","Copilot Enterprise","7000"
"jquibell","jasper.quibell0565@contoso-health.com","Quibell, Jasper W","Copilot Business","3000"
"jcholmondeley","jerome.cholmondeley0724@contoso-health.com","Cholmondeley, Jerome I","Copilot Enterprise","7000"
"jfairbrother","jerome.fairbrother0478@contoso-health.com","Fairbrother, Jerome W","Copilot Enterprise","7000"
"jlittlewood","jerome.littlewood0699@contoso-health.com","Littlewood, Jerome P","Copilot Enterprise","7000"
"jpennington","jonquil.pennington0541@contoso-health.com","Pennington, Jonquil W","Copilot Enterprise","7000"
"jholbrook","josephine.holbrook0736@contoso-health.com","Holbrook, Josephine R","Copilot Business","3000"
"jivorson","josephine.ivorson0582@contoso-health.com","Ivorson, Josephine H","Copilot Enterprise","7000"
"josbaldeston","josephine.osbaldeston0743@contoso-health.com","Osbaldeston, Josephine E","Copilot Enterprise","7000"
"jnuttall","juliet.nuttall0708@contoso-health.com","Nuttall, Juliet R","Copilot Enterprise","7000"
"jthorncroft","juliet.thorncroft0727@contoso-health.com","Thorncroft, Juliet H","Copilot Enterprise","7000"
"kgranville","katherine.granville0464@contoso-health.com","Granville, Katherine A","Copilot Enterprise","7000"
"kballantyne","katya.ballantyne0495@contoso-health.com","Ballantyne, Katya T","Copilot Business","3000"
"kknatchbull","katya.knatchbull0644@contoso-health.com","Knatchbull, Katya H","Copilot Enterprise","7000"
"kleverton","kenelm.leverton0749@contoso-health.com","Leverton, Kenelm I","Copilot Enterprise","7000"
"krowbotham","kenelm.rowbotham0756@contoso-health.com","Rowbotham, Kenelm R","Copilot Enterprise","7000"
"kwhitcombe","kester.whitcombe0641@contoso-health.com","Whitcombe, Kester C","Copilot Enterprise","7000"
"kgarforth","kingsley.garforth0571@contoso-health.com","Garforth, Kingsley B","Copilot Enterprise","7000"
"khigginbotham","kingsley.higginbotham0845@contoso-health.com","Higginbotham, Kingsley P","Copilot Business","3000"
"kknatchbull2","kingsley.knatchbull0443@contoso-health.com","Knatchbull, Kingsley H","Copilot Enterprise","7000"
"kmainwaring","kingsley.mainwaring0516@contoso-health.com","Mainwaring, Kingsley N","Copilot Enterprise","7000"
"kshackleton","kingsley.shackleton0531@contoso-health.com","Shackleton, Kingsley W","Copilot Enterprise","7000"
"kbexworth","konstantin.bexworth0533@contoso-health.com","Bexworth, Konstantin B","Copilot Business","3000"
"kfeatherstone","konstantin.featherstone0446@contoso-health.com","Featherstone, Konstantin T","Copilot Business","3000"
"klangdale","konstantin.langdale0433@contoso-health.com","Langdale, Konstantin A","Copilot Business","3000"
"krothwell","konstantin.rothwell0837@contoso-health.com","Rothwell, Konstantin J","Copilot Business","3000"
"lhetherington","lachlan.hetherington0578@contoso-health.com","Hetherington, Lachlan E","Copilot Enterprise","7000"
"lkembleford","lavinia.kembleford0717@contoso-health.com","Kembleford, Lavinia R","Copilot Enterprise","7000"
"lufford","leopold.ufford0500@contoso-health.com","Ufford, Leopold O","Copilot Business","3000"
"lcranbrook","lettice.cranbrook0510@contoso-health.com","Cranbrook, Lettice P","Copilot Enterprise","7000"
"lkettering","lettice.kettering0553@contoso-health.com","Kettering, Lettice H","Copilot Business","3000"
"llymington","lettice.lymington0742@contoso-health.com","Lymington, Lettice L","Copilot Enterprise","7000"
"lquarrington","lettice.quarrington0518@contoso-health.com","Quarrington, Lettice E","Copilot Enterprise","7000"
"lhigginbotham","lucinda.higginbotham0465@contoso-health.com","Higginbotham, Lucinda R","Copilot Enterprise","7000"
"lyardley","lucinda.yardley0556@contoso-health.com","Yardley, Lucinda L","Copilot Enterprise","7000"
"lclevedon","lysander.clevedon0551@contoso-health.com","Clevedon, Lysander K","Copilot Enterprise","7000"
"lrothwell","lysander.rothwell0718@contoso-health.com","Rothwell, Lysander N","Copilot Enterprise","7000"
"lvale","lysander.vale0663@contoso-health.com","Vale, Lysander W","Copilot Enterprise","7000"
"mgrantham","magdalena.grantham0740@contoso-health.com","Grantham, Magdalena O","Copilot Business","3000"
"mskelmersdale","magdalena.skelmersdale0861@contoso-health.com","Skelmersdale, Magdalena W","Copilot Business","3000"
"mswinburne","magdalena.swinburne0692@contoso-health.com","Swinburne, Magdalena T","Copilot Enterprise","7000"
"mbeauchamp","marcus.beauchamp0583@contoso-health.com","Beauchamp, Marcus A","Copilot Enterprise","7000"
"mpargeter","marcus.pargeter0645@contoso-health.com","Pargeter, Marcus T","Copilot Enterprise","7000"
"mfoxcroft","marianne.foxcroft0687@contoso-health.com","Foxcroft, Marianne L","Copilot Business","3000"
"moglethorpe","marianne.oglethorpe0520@contoso-health.com","Oglethorpe, Marianne M","Copilot Enterprise","7000"
"mprescott","marianne.prescott0842@contoso-health.com","Prescott, Marianne S","Copilot Enterprise","7000"
"mquibell","marianne.quibell0436@contoso-health.com","Quibell, Marianne E","Copilot Enterprise","7000"
"mredmayne","marianne.redmayne0593@contoso-health.com","Redmayne, Marianne K","Copilot Enterprise","7000"
"mdinsdale","meredith.dinsdale0544@contoso-health.com","Dinsdale, Meredith H","Copilot Enterprise","7000"
"myeovil","meredith.yeovil0463@contoso-health.com","Yeovil, Meredith O","Copilot Enterprise","7000"
"mcholmondeley","millicent.cholmondeley0691@contoso-health.com","Cholmondeley, Millicent K","Copilot Enterprise","7000"
"mfoxcroft2","millicent.foxcroft0667@contoso-health.com","Foxcroft, Millicent R","Copilot Business","3000"
"msomerville","millicent.somerville0856@contoso-health.com","Somerville, Millicent C","Copilot Enterprise","7000"
"mbickerstaff","montgomery.bickerstaff0523@contoso-health.com","Bickerstaff, Montgomery R","Copilot Business","3000"
"mfarquharson","montgomery.farquharson0656@contoso-health.com","Farquharson, Montgomery J","Copilot Enterprise","7000"
"moglethorpe2","montgomery.oglethorpe0453@contoso-health.com","Oglethorpe, Montgomery K","Copilot Enterprise","7000"
"mrushworth","montgomery.rushworth0477@contoso-health.com","Rushworth, Montgomery T","Copilot Business","3000"
"mverinder","montgomery.verinder0731@contoso-health.com","Verinder, Montgomery R","Copilot Enterprise","7000"
"nabernathy","nathaniel.abernathy0852@contoso-health.com","Abernathy, Nathaniel O","Copilot Business","3000"
"neversleigh","nathaniel.eversleigh0835@contoso-health.com","Eversleigh, Nathaniel I","Copilot Enterprise","7000"
"nfenwick","nathaniel.fenwick0675@contoso-health.com","Fenwick, Nathaniel S","Copilot Business","3000"
"nhetherington","nathaniel.hetherington0668@contoso-health.com","Hetherington, Nathaniel D","Copilot Enterprise","7000"
"nnorthcote","nathaniel.northcote0537@contoso-health.com","Northcote, Nathaniel T","Copilot Business","3000"
"npennington","nathaniel.pennington0522@contoso-health.com","Pennington, Nathaniel D","Copilot Business","3000"
"nquibell","nathaniel.quibell0744@contoso-health.com","Quibell, Nathaniel D","Copilot Enterprise","7000"
"nashdown","nolan.ashdown0855@contoso-health.com","Ashdown, Nolan E","Copilot Enterprise","7000"
"njephson","nolan.jephson0754@contoso-health.com","Jephson, Nolan F","Copilot Business","3000"
"nwaverley","nolan.waverley0542@contoso-health.com","Waverley, Nolan I","Copilot Enterprise","7000"
"njolliffe","norbert.jolliffe0468@contoso-health.com","Jolliffe, Norbert G","Copilot Enterprise","7000"
"nnuttall","norbert.nuttall0585@contoso-health.com","Nuttall, Norbert B","Copilot Business","3000"
"normsby","norbert.ormsby0439@contoso-health.com","Ormsby, Norbert T","Copilot Enterprise","7000"
"odinsdale","octavia.dinsdale0705@contoso-health.com","Dinsdale, Octavia M","Copilot Business","3000"
"okettering","octavia.kettering0643@contoso-health.com","Kettering, Octavia G","Copilot Enterprise","7000"
"omicklethwait","octavia.micklethwait0513@contoso-health.com","Micklethwait, Octavia G","Copilot Enterprise","7000"
"oselwyn","octavia.selwyn0501@contoso-health.com","Selwyn, Octavia O","Copilot Enterprise","7000"
"owhitcombe","octavia.whitcombe0467@contoso-health.com","Whitcombe, Octavia W","Copilot Enterprise","7000"
"ocranbrook","odette.cranbrook0747@contoso-health.com","Cranbrook, Odette C","Copilot Enterprise","7000"
"oglossop","odette.glossop0685@contoso-health.com","Glossop, Odette T","Copilot Business","3000"
"olattimore","odette.lattimore0658@contoso-health.com","Lattimore, Odette M","Copilot Business","3000"
"osomerville","odette.somerville0506@contoso-health.com","Somerville, Odette G","Copilot Enterprise","7000"
"othackeray","odette.thackeray0693@contoso-health.com","Thackeray, Odette H","Copilot Enterprise","7000"
"oduckworth","oliver.duckworth0857@contoso-health.com","Duckworth, Oliver R","Copilot Business","3000"
"oillingworth","oliver.illingworth0543@contoso-health.com","Illingworth, Oliver P","Copilot Business","3000"
"owestbrook","oliver.westbrook0721@contoso-health.com","Westbrook, Oliver N","Copilot Business","3000"
"ohepplewhite","ophelia.hepplewhite0672@contoso-health.com","Hepplewhite, Ophelia J","Copilot Business","3000"
"oshackleton","ophelia.shackleton0432@contoso-health.com","Shackleton, Ophelia D","Copilot Enterprise","7000"
"ohalloway","ottoline.halloway0757@contoso-health.com","Halloway, Ottoline B","Copilot Enterprise","7000"
"okembleford","ottoline.kembleford0482@contoso-health.com","Kembleford, Ottoline F","Copilot Enterprise","7000"
"okettering2","ottoline.kettering0431@contoso-health.com","Kettering, Ottoline A","Copilot Business","3000"
"pleverton","pascoe.leverton0843@contoso-health.com","Leverton, Pascoe O","Copilot Business","3000"
"ploxley","pascoe.loxley0475@contoso-health.com","Loxley, Pascoe S","Copilot Enterprise","7000"
"pramsbottom","pascoe.ramsbottom0716@contoso-health.com","Ramsbottom, Pascoe M","Copilot Business","3000"
"pmainwaring","percival.mainwaring0483@contoso-health.com","Mainwaring, Percival P","Copilot Enterprise","7000"
"phaddonfield","peregrine.haddonfield0710@contoso-health.com","Haddonfield, Peregrine L","Copilot Enterprise","7000"
"pkembleford","petra.kembleford0545@contoso-health.com","Kembleford, Petra A","Copilot Business","3000"
"pmiddleton","petra.middleton0709@contoso-health.com","Middleton, Petra E","Copilot Enterprise","7000"
"pkinsella","phineas.kinsella0654@contoso-health.com","Kinsella, Phineas C","Copilot Business","3000"
"pmarchetti","phineas.marchetti0690@contoso-health.com","Marchetti, Phineas T","Copilot Enterprise","7000"
"ppostlethwaite","phineas.postlethwaite0538@contoso-health.com","Postlethwaite, Phineas A","Copilot Enterprise","7000"
"pbeauchamp","prudence.beauchamp0535@contoso-health.com","Beauchamp, Prudence P","Copilot Enterprise","7000"
"pjerningham","prudence.jerningham0664@contoso-health.com","Jerningham, Prudence N","Copilot Enterprise","7000"
"pmordaunt","prudence.mordaunt0473@contoso-health.com","Mordaunt, Prudence H","Copilot Enterprise","7000"
"pwilloughby","prudence.willoughby0471@contoso-health.com","Willoughby, Prudence C","Copilot Business","3000"
"qgranville","quentin.granville0449@contoso-health.com","Granville, Quentin J","Copilot Business","3000"
"redgeworth","rafferty.edgeworth0558@contoso-health.com","Edgeworth, Rafferty R","Copilot Business","3000"
"rgoldsworthy","rafferty.goldsworthy0563@contoso-health.com","Goldsworthy, Rafferty I","Copilot Business","3000"
